Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Brown_2010_Task_2,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Brown_2010_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Brubacher_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Brubacher_2011b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Brubacher_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Brubacher_2012_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Brubacher_2018_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bryant_1971_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bryant_1971_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bunnell_2018_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Bunnell_2018_Task_2,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Burden_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Burden_2005_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Burden_2005_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Burden_2005_Task_4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Burns_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Busby_2005_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Canada_2018_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Canada_2019_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Canada_2020_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Canada_2020_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2007_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2007_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2009_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2009_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2010_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Carneiro_2010_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Castelli_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_1978_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_1978_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_1978b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_1980_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_1984_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_2007_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Ceci_2007_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_2010_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_2010_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ceci_2010_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Chad-Friendman_2020_Task_1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Chad-Friendman_2020_Task_2,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Chad-Friendman_2020_Task_3,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Chae_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Chai_2010_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Chai_2014_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Chastelaine_2007_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Cheke_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cheke_2015_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cheke_2015_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Chi_1983_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Chi_1983_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Chiu_2006_Task_1,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Chiu_2006_Task_2,0.0,0.0,1.0,1.0,1.0,1.0,0.0
